place_id,saiz_elasticity
AL,3.4253216919146086
AR,5.2479142058979384
AZ,2.3722803592681885
CA,1.6385429935021834
CO,2.026217669248581
DE,2.1819159984588623
FL,1.5666462898254394
GA,2.742047492493974
IA,4.339309976882293
ID,2.671005964279175
IL,3.751384680955568
IN,5.067039875757126
KS,4.822952309403894
KY,2.1244090754410316
LA,3.685803453127543
MA,2.1139328479766846
ME,2.282564401626587
MI,2.539008378982544
MN,2.9088888168334965
MO,5.481064920611033
MS,3.0016486644744873
MT,3.0673270225524902
NC,2.29685378074646
ND,3.1667003631591797
NE,3.1110803913062726
NJ,1.862290382385254
NM,2.151482582092285
NV,1.3864644765853882
NY,2.6353275094713484
OH,3.182523278828481
OK,3.4875333786010745
OR,1.8935095469156902
PA,1.8964035170418876
SC,2.6537163257598877
SD,4.370420038700104
TN,3.016140365600586
TX,3.31481005748113
UT,1.217323899269104
VA,2.7860992749532065
WI,2.1900815963745117
WV,2.120799770160597
WY,4.538107395172119
